"title","type","priceWithCurrency","lastUpdated","availableText","itemLocation"
"XIYUER Women's down jacket Short 90% duck down jacket 2024 high-end new models","Coat","US $229.00","Oct 16, 2024 09:26:58 PDT","10 available",""
"Reebok Men's Softshell Jacket","N/A","US $40.00","","5 available","Hurst, Texas, United States"
"Mens Fleece Jacket Soft Plush Zip Up Fall Winter Outdoor Casual work - Black","Jacket","US $14.99/ea","Oct 16, 2024 12:16:32 PDT","4 available","Alviso, California, United States"
"Men's Casual Padded Jacket Winter Warm Hooded Soft Comfort Coat Thick Jacket Top","Jacket","US $35.83/ea","Oct 17, 2024 18:11:06 PDT","3 available30 sold",""
"Men's Casual Padded Jacket Winter Warm Hooded Soft Comfort Coat Thick Jacket Top","Jacket","US $35.83","","Last one8 sold",""
"Warm Mens Casual Padded Hooded Jacket Winter Soft Comfort Coat Thick Jacket","Jacket","US $35.00","Oct 18, 2024 20:02:23 PDT","Last one39 sold",""
"Men Winter Warm Thick Fleece Jacket Men Coat Outwear Outdoor Jacket Men","Coat","US $32.64","Oct 17, 2024 18:54:55 PDT","10 available7 sold",""
"Men's Waterproof Winter Jacket Warm Winter Coat Outdoor Ski Snow Hooded Jacket","Jacket","US $32.75","Oct 13, 2024 13:30:10 PDT","6 available19 sold",""
"Men's Casual Padded Jacket Winter Warm Hooded Soft Comfort Coat Thick Jacket Top","Jacket","US $29.36/ea","Oct 16, 2024 23:31:18 PDT","2 available22 sold",""
"Parka Ski Men Thick Winter Puffer Jacket Hooded Quilted Duck Snow Coat Warm Down","Coat","US $6.64/ea","Oct 17, 2024 08:57:04 PDT","50 available40 sold",""
"Winter Men Warm Duck Down Jacket Ski Snow Thick Hooded Puffer Coat Parka Quilte,","Coat","US $11.42/ea","Oct 17, 2024 16:45:43 PDT","3 available14 sold",""
"Men's Winter Jacket Thick Thermal Cotton Warm Fleece Lined Coat Trucker Jackets","Coat","US $39.52","","Last one4 sold",""
"Vintage 80s 90s Drescente Winter Ski Bomber Jacket Menâ€™s Size M - Perfect!","Jacket","US $149.99","","","Brooklyn, New York, United States"
"Tom Cruise Maverick Military Pilot G-1 Fur Collar Bomber Aviator Leather Jacket","Jacket","US $135.99/ea","Oct 06, 2024 12:13:53 PDT","2 available",""
"Billabong Ski 8K Winter Jacket Womens M Hooded Lined Black Multicolor Print","Jacket","US $50.00","","","Baytown, Texas, United States"